x_low,x_high,x_center,low_count,low_probability,low_density,middle_count,middle_probability,middle_density,high_count,high_probability,high_density
0.0,0.02,0.01,90,0.0009,0.045,0,0.0,0.0,0,0.0,0.0
0.02,0.04,0.03,365,0.00365,0.1825,0,0.0,0.0,0,0.0,0.0
0.04,0.06,0.05,593,0.00593,0.29650000000000004,0,0.0,0.0,0,0.0,0.0
0.06,0.08,0.07,802,0.00802,0.4009999999999999,0,0.0,0.0,0,0.0,0.0
0.08,0.1,0.09,1076,0.01076,0.5379999999999999,0,0.0,0.0,0,0.0,0.0
0.1,0.12,0.11,1309,0.01309,0.6545000000000003,0,0.0,0.0,0,0.0,0.0
0.12,0.14,0.13,1587,0.01587,0.7934999999999992,0,0.0,0.0,0,0.0,0.0
0.14,0.16,0.15000000000000002,1844,0.01844,0.9220000000000005,0,0.0,0.0,0,0.0,0.0
0.16,0.18,0.16999999999999998,2047,0.02047,1.0235000000000005,0,0.0,0.0,0,0.0,0.0
0.18,0.2,0.19,2261,0.02261,1.1304999999999992,0,0.0,0.0,0,0.0,0.0
0.2,0.22,0.21000000000000002,2609,0.02609,1.3045000000000007,0,0.0,0.0,0,0.0,0.0
0.22,0.24,0.22999999999999998,2734,0.02734,1.3670000000000007,0,0.0,0.0,0,0.0,0.0
0.24,0.26,0.25,2956,0.02956,1.4779999999999986,0,0.0,0.0,0,0.0,0.0
0.26,0.28,0.27,3197,0.03197,1.5984999999999985,0,0.0,0.0,0,0.0,0.0
0.28,0.3,0.29000000000000004,3607,0.03607,1.8035000000000032,0,0.0,0.0,0,0.0,0.0
0.3,0.32,0.31,3698,0.03698,1.8489999999999982,0,0.0,0.0,0,0.0,0.0
0.32,0.34,0.33,4117,0.04117,2.058499999999998,0,0.0,0.0,0,0.0,0.0
0.34,0.36,0.35,4177,0.04177,2.0885000000000042,0,0.0,0.0,0,0.0,0.0
0.36,0.38,0.37,4616,0.04616,2.307999999999998,0,0.0,0.0,0,0.0,0.0
0.38,0.4,0.39,4705,0.04705,2.352499999999998,0,0.0,0.0,0,0.0,0.0
0.4,0.42,0.41000000000000003,5043,0.05043,2.521500000000005,0,0.0,0.0,0,0.0,0.0
0.42,0.44,0.43,5137,0.05137,2.5684999999999976,0,0.0,0.0,0,0.0,0.0
0.44,0.46,0.45,5524,0.05524,2.7619999999999973,0,0.0,0.0,0,0.0,0.0
0.46,0.48,0.47,5598,0.05598,2.7990000000000053,0,0.0,0.0,0,0.0,0.0
0.48,0.5,0.49,5980,0.0598,2.989999999999997,0,0.0,0.0,0,0.0,0.0
0.5,0.52,0.51,5667,0.05667,2.8334999999999972,497,0.00497,0.24849999999999975,0,0.0,0.0
0.52,0.54,0.53,4759,0.04759,2.379499999999998,1561,0.01561,0.7804999999999993,0,0.0,0.0
0.54,0.56,0.55,4109,0.04109,2.054499999999998,2574,0.02574,1.2869999999999988,0,0.0,0.0
0.56,0.58,0.5700000000000001,3376,0.03376,1.6880000000000077,3503,0.03503,1.751500000000008,0,0.0,0.0
0.58,0.6,0.59,2596,0.02596,1.297999999999999,4452,0.04452,2.2259999999999978,0,0.0,0.0
0.6,0.62,0.61,1968,0.01968,0.9839999999999991,5364,0.05364,2.6819999999999977,0,0.0,0.0
0.62,0.64,0.63,1244,0.01244,0.6219999999999994,6303,0.06303,3.1514999999999973,0,0.0,0.0
0.64,0.66,0.65,569,0.00569,0.28449999999999975,7330,0.0733,3.664999999999997,0,0.0,0.0
0.66,0.68,0.67,40,0.0004,0.019999999999999983,7821,0.07821,3.9104999999999968,153,0.00153,0.07649999999999993
0.68,0.7000000000000001,0.6900000000000001,0,0.0,0.0,7578,0.07578,3.7889999999999966,795,0.00795,0.3974999999999997
0.7000000000000001,0.72,0.71,0,0.0,0.0,6808,0.06808,3.404000000000016,1454,0.01454,0.7270000000000034
0.72,0.74,0.73,0,0.0,0.0,6385,0.06385,3.1924999999999972,2159,0.02159,1.079499999999999
0.74,0.76,0.75,0,0.0,0.0,5897,0.05897,2.9484999999999975,2886,0.02886,1.4429999999999987
0.76,0.78,0.77,0,0.0,0.0,5521,0.05521,2.7604999999999977,3470,0.0347,1.7349999999999985
0.78,0.8,0.79,0,0.0,0.0,4943,0.04943,2.471499999999998,4358,0.04358,2.178999999999998
0.8,0.8200000000000001,0.81,0,0.0,0.0,4431,0.04431,2.2154999999999982,4862,0.04862,2.430999999999998
0.8200000000000001,0.84,0.8300000000000001,0,0.0,0.0,4058,0.04058,2.0290000000000092,5679,0.05679,2.8395000000000135
0.84,0.86,0.85,0,0.0,0.0,3551,0.03551,1.7754999999999985,6314,0.06314,3.1569999999999974
0.86,0.88,0.87,0,0.0,0.0,3048,0.03048,1.5239999999999987,7175,0.07175,3.5874999999999964
0.88,0.9,0.89,0,0.0,0.0,2581,0.02581,1.2904999999999989,7772,0.07772,3.8859999999999966
0.9,0.92,0.91,0,0.0,0.0,2198,0.02198,1.098999999999999,8551,0.08551,4.2754999999999965
0.92,0.9400000000000001,0.93,0,0.0,0.0,1623,0.01623,0.8114999999999993,9461,0.09461,4.730499999999996
0.9400000000000001,0.96,0.95,0,0.0,0.0,1093,0.01093,0.5465000000000025,10486,0.10486,5.243000000000024
0.96,0.98,0.97,0,0.0,0.0,672,0.00672,0.3359999999999997,11403,0.11403,5.701499999999995
0.98,1.0,0.99,0,0.0,0.0,208,0.00208,0.1039999999999999,13022,0.13022,6.510999999999994
